sku,category,name,description
DBL8676,"Default Category/Camera, Photo & Video/Camera Parts & Accessories/Lenses & Filters",Canon EF 70-300mm f4-5.6 IS USM Zoom Lens 0345B002,Canon EF 70-300mm f4-5.6 IS USM Zoom Lens 0345B002
magento2-product1,"Default Category/Camera, Photo & Video/Camera Parts & Accessories/Lenses & Filters",Magento2 Product Demo1,Magento2 Product Demo1
magento2-product2,,Magento2 Product Demo2,Magento2 Product Demo2
2102590,Default Category/Phones & Accessories/Cell Phone Accessories/Cell Phone Cases,"Apple Watch Case, by Insten Black Protective Rubber TPU Cover Case For Apple Watch iWatch 38mm","Apple Watch Case, by Insten Black Protective Rubber TPU Cover Case For Apple Watch iWatch 38mm"
2102588,Default Category/Phones & Accessories/Cell Phone Accessories/Cell Phone Cases,"Apple Watch Case, by Insten Clear Transparent Ultra Thin Protective TPU Rubber Gel Bumper Case For Apple Watch 38mm","Apple Watch Case, by Insten Clear Transparent Ultra Thin Protective TPU Rubber Gel Bumper Case For Apple Watch 38mm"
2102587,Default Category/Phones & Accessories/Cell Phone Accessories/Cell Phone Cases,"Apple Watch Case, by Insten Clear Transparent Ultra Thin Protective TPU Rubber Gel Bumper Case For Apple Watch 42mm","Apple Watch Case, by Insten Clear Transparent Ultra Thin Protective TPU Rubber Gel Bumper Case For Apple Watch 42mm"
2102592,Default Category/Phones & Accessories/Cell Phone Accessories/Cell Phone Cases,"Apple Watch Case, by Insten Lake Blue Ultra Thin Protective TPU Rubber Bumper Case Cover For Apple Watch iWatch 38mm","Apple Watch Case, by Insten Lake Blue Ultra Thin Protective TPU Rubber Bumper Case Cover For Apple Watch iWatch 38mm"
2102591,Default Category/Phones & Accessories/Cell Phone Accessories/Cell Phone Cases,"Apple Watch Case, by Insten Rose Red Protective Rubber Gel Bumper Case For Apple Watch iWatch 38mm","Apple Watch Case, by Insten Rose Red Protective Rubber Gel Bumper Case For Apple Watch iWatch 38mm"
2118348,Default Category/Home Audio & Theatre/Audio/Audio Components,BasAcc 10' Gold Plated High Speed HDMI Cable Verion 1.4 Supports Ethernet 3D 4K 2160p 1440p 1080p Ultra HD HDTV 10ft,BasAcc 10' Gold Plated High Speed HDMI Cable Verion 1.4 Supports Ethernet 3D 4K 2160p 1440p 1080p Ultra HD HDTV 10ft
2118353,Default Category/Phones & Accessories/Cell Phone Accessories,BasAcc 3' Braided Micro USB Charger Cable For Samsung LG Motorola Sony HTC Huawei Alcatel ZTE Android Phone Smartphone Tablet PS4 Xbox One Universal Gold,BasAcc 3' Braided Micro USB Charger Cable For Samsung LG Motorola Sony HTC Huawei Alcatel ZTE Android Phone Smartphone Tablet PS4 Xbox One Universal Gold
